key,affinity,fold0,fold1,fold2,fold3,fold4
1A4T_0_RNA_A_1A4T_0_PROT_B,-9.9,train,train,train,test,train
1A4T_10_RNA_A_1A4T_10_PROT_B,-9.9,train,train,train,test,train
1A4T_11_RNA_A_1A4T_11_PROT_B,-9.9,train,train,train,test,train
1A4T_12_RNA_A_1A4T_12_PROT_B,-9.9,train,train,train,test,train
1A4T_13_RNA_A_1A4T_13_PROT_B,-9.9,train,train,train,test,train
1A4T_14_RNA_A_1A4T_14_PROT_B,-9.9,train,train,train,test,train
1A4T_15_RNA_A_1A4T_15_PROT_B,-9.9,train,train,train,test,train
1A4T_16_RNA_A_1A4T_16_PROT_B,-9.9,train,train,train,test,train
1A4T_17_RNA_A_1A4T_17_PROT_B,-9.9,train,train,train,test,train
1A4T_18_RNA_A_1A4T_18_PROT_B,-9.9,train,train,train,test,train
1A4T_19_RNA_A_1A4T_19_PROT_B,-9.9,train,train,train,test,train
1A4T_1_RNA_A_1A4T_1_PROT_B,-9.9,train,train,train,test,train
1A4T_2_RNA_A_1A4T_2_PROT_B,-9.9,train,train,train,test,train
1A4T_3_RNA_A_1A4T_3_PROT_B,-9.9,train,train,train,test,train
1A4T_4_RNA_A_1A4T_4_PROT_B,-9.9,train,train,train,test,train
1A4T_5_RNA_A_1A4T_5_PROT_B,-9.9,train,train,train,test,train
1A4T_6_RNA_A_1A4T_6_PROT_B,-9.9,train,train,train,test,train
1A4T_7_RNA_A_1A4T_7_PROT_B,-9.9,train,train,train,test,train
1A4T_8_RNA_A_1A4T_8_PROT_B,-9.9,train,train,train,test,train
1A4T_9_RNA_A_1A4T_9_PROT_B,-9.9,train,train,train,test,train
1EC6_0_RNA_D_1EC6_0_PROT_A,-7.99,train,test,train,train,train
1F6U_0_RNA_B_1F6U_0_PROT_A,-9.65,train,train,train,test,train
1F6U_10_RNA_B_1F6U_10_PROT_A,-9.65,train,train,train,test,train
1F6U_11_RNA_B_1F6U_11_PROT_A,-9.65,train,train,train,test,train
1F6U_12_RNA_B_1F6U_12_PROT_A,-9.65,train,train,train,test,train
1F6U_13_RNA_B_1F6U_13_PROT_A,-9.65,train,train,train,test,train
1F6U_14_RNA_B_1F6U_14_PROT_A,-9.65,train,train,train,test,train
1F6U_15_RNA_B_1F6U_15_PROT_A,-9.65,train,train,train,test,train
1F6U_16_RNA_B_1F6U_16_PROT_A,-9.65,train,train,train,test,train
1F6U_17_RNA_B_1F6U_17_PROT_A,-9.65,train,train,train,test,train
1F6U_18_RNA_B_1F6U_18_PROT_A,-9.65,train,train,train,test,train
1F6U_19_RNA_B_1F6U_19_PROT_A,-9.65,train,train,train,test,train
1F6U_1_RNA_B_1F6U_1_PROT_A,-9.65,train,train,train,test,train
1F6U_2_RNA_B_1F6U_2_PROT_A,-9.65,train,train,train,test,train
1F6U_3_RNA_B_1F6U_3_PROT_A,-9.65,train,train,train,test,train
1F6U_4_RNA_B_1F6U_4_PROT_A,-9.65,train,train,train,test,train
1F6U_5_RNA_B_1F6U_5_PROT_A,-9.65,train,train,train,test,train
1F6U_6_RNA_B_1F6U_6_PROT_A,-9.65,train,train,train,test,train
1F6U_7_RNA_B_1F6U_7_PROT_A,-9.65,train,train,train,test,train
1F6U_8_RNA_B_1F6U_8_PROT_A,-9.65,train,train,train,test,train
1F6U_9_RNA_B_1F6U_9_PROT_A,-9.65,train,train,train,test,train
1FJE_0_RNA_A_1FJE_0_PROT_B,-11.861,train,test,train,train,train
1FJE_10_RNA_A_1FJE_10_PROT_B,-11.861,train,test,train,train,train
1FJE_11_RNA_A_1FJE_11_PROT_B,-11.861,train,test,train,train,train
1FJE_12_RNA_A_1FJE_12_PROT_B,-11.861,train,test,train,train,train
1FJE_13_RNA_A_1FJE_13_PROT_B,-11.861,train,test,train,train,train
1FJE_14_RNA_A_1FJE_14_PROT_B,-11.861,train,test,train,train,train
1FJE_15_RNA_A_1FJE_15_PROT_B,-11.861,train,test,train,train,train
1FJE_16_RNA_A_1FJE_16_PROT_B,-11.861,train,test,train,train,train
1FJE_17_RNA_A_1FJE_17_PROT_B,-11.861,train,test,train,train,train
1FJE_18_RNA_A_1FJE_18_PROT_B,-11.861,train,test,train,train,train
1FJE_1_RNA_A_1FJE_1_PROT_B,-11.861,train,test,train,train,train
1FJE_2_RNA_A_1FJE_2_PROT_B,-11.861,train,test,train,train,train
1FJE_3_RNA_A_1FJE_3_PROT_B,-11.861,train,test,train,train,train
1FJE_4_RNA_A_1FJE_4_PROT_B,-11.861,train,test,train,train,train
1FJE_5_RNA_A_1FJE_5_PROT_B,-11.861,train,test,train,train,train
1FJE_6_RNA_A_1FJE_6_PROT_B,-11.861,train,test,train,train,train
1FJE_7_RNA_A_1FJE_7_PROT_B,-11.861,train,test,train,train,train
1FJE_8_RNA_A_1FJE_8_PROT_B,-11.861,train,test,train,train,train
1FJE_9_RNA_A_1FJE_9_PROT_B,-11.861,train,test,train,train,train
1K1G_0_RNA_B_1K1G_0_PROT_A,-8.181,train,train,train,test,train
1K1G_1_RNA_B_1K1G_1_PROT_A,-8.181,train,train,train,test,train
1K1G_2_RNA_B_1K1G_2_PROT_A,-8.181,train,train,train,test,train
1K1G_3_RNA_B_1K1G_3_PROT_A,-8.181,train,train,train,test,train
1K1G_4_RNA_B_1K1G_4_PROT_A,-8.181,train,train,train,test,train
1K1G_5_RNA_B_1K1G_5_PROT_A,-8.181,train,train,train,test,train
1K1G_6_RNA_B_1K1G_6_PROT_A,-8.181,train,train,train,test,train
1K1G_7_RNA_B_1K1G_7_PROT_A,-8.181,train,train,train,test,train
1K1G_8_RNA_B_1K1G_8_PROT_A,-8.181,train,train,train,test,train
1K1G_9_RNA_B_1K1G_9_PROT_A,-8.181,train,train,train,test,train
1K8W_0_RNA_B_1K8W_0_PROT_A,-8.73,train,train,train,train,test
1M8X_0_RNA_C_1M8X_0_PROT_A,-8.591,train,train,train,train,test
1M8Y_0_RNA_C_1M8Y_0_PROT_A,-9.266,train,train,train,train,test
1MMS_0_RNA_C_1MMS_0_PROT_A,-9.44,train,train,train,test,train
1NYB_0_RNA_B_1NYB_0_PROT_A,-9.13,train,train,test,train,train
1NYB_10_RNA_B_1NYB_10_PROT_A,-9.13,train,train,test,train,train
1NYB_11_RNA_B_1NYB_11_PROT_A,-9.13,train,train,test,train,train
1NYB_12_RNA_B_1NYB_12_PROT_A,-9.13,train,train,test,train,train
1NYB_13_RNA_B_1NYB_13_PROT_A,-9.13,train,train,test,train,train
1NYB_14_RNA_B_1NYB_14_PROT_A,-9.13,train,train,test,train,train
1NYB_1_RNA_B_1NYB_1_PROT_A,-9.13,train,train,test,train,train
1NYB_2_RNA_B_1NYB_2_PROT_A,-9.13,train,train,test,train,train
1NYB_3_RNA_B_1NYB_3_PROT_A,-9.13,train,train,test,train,train
1NYB_4_RNA_B_1NYB_4_PROT_A,-9.13,train,train,test,train,train
1NYB_5_RNA_B_1NYB_5_PROT_A,-9.13,train,train,test,train,train
1NYB_6_RNA_B_1NYB_6_PROT_A,-9.13,train,train,test,train,train
1NYB_7_RNA_B_1NYB_7_PROT_A,-9.13,train,train,test,train,train
1NYB_8_RNA_B_1NYB_8_PROT_A,-9.13,train,train,test,train,train
1NYB_9_RNA_B_1NYB_9_PROT_A,-9.13,train,train,test,train,train
1OOA_0_RNA_C_1OOA_0_PROT_A,-11.27,train,train,train,train,test
1QFQ_0_RNA_A_1QFQ_0_PROT_B,-12.12,train,train,test,train,train
1QFQ_10_RNA_A_1QFQ_10_PROT_B,-12.12,train,train,test,train,train
1QFQ_11_RNA_A_1QFQ_11_PROT_B,-12.12,train,train,test,train,train
1QFQ_12_RNA_A_1QFQ_12_PROT_B,-12.12,train,train,test,train,train
1QFQ_13_RNA_A_1QFQ_13_PROT_B,-12.12,train,train,test,train,train
1QFQ_14_RNA_A_1QFQ_14_PROT_B,-12.12,train,train,test,train,train
1QFQ_15_RNA_A_1QFQ_15_PROT_B,-12.12,train,train,test,train,train
1QFQ_16_RNA_A_1QFQ_16_PROT_B,-12.12,train,train,test,train,train
1QFQ_17_RNA_A_1QFQ_17_PROT_B,-12.12,train,train,test,train,train
1QFQ_18_RNA_A_1QFQ_18_PROT_B,-12.12,train,train,test,train,train
1QFQ_19_RNA_A_1QFQ_19_PROT_B,-12.12,train,train,test,train,train
1QFQ_1_RNA_A_1QFQ_1_PROT_B,-12.12,train,train,test,train,train
1QFQ_20_RNA_A_1QFQ_20_PROT_B,-12.12,train,train,test,train,train
1QFQ_21_RNA_A_1QFQ_21_PROT_B,-12.12,train,train,test,train,train
1QFQ_22_RNA_A_1QFQ_22_PROT_B,-12.12,train,train,test,train,train
1QFQ_23_RNA_A_1QFQ_23_PROT_B,-12.12,train,train,test,train,train
1QFQ_24_RNA_A_1QFQ_24_PROT_B,-12.12,train,train,test,train,train
1QFQ_25_RNA_A_1QFQ_25_PROT_B,-12.12,train,train,test,train,train
1QFQ_26_RNA_A_1QFQ_26_PROT_B,-12.12,train,train,test,train,train
1QFQ_27_RNA_A_1QFQ_27_PROT_B,-12.12,train,train,test,train,train
1QFQ_28_RNA_A_1QFQ_28_PROT_B,-12.12,train,train,test,train,train
1QFQ_2_RNA_A_1QFQ_2_PROT_B,-12.12,train,train,test,train,train
1QFQ_3_RNA_A_1QFQ_3_PROT_B,-12.12,train,train,test,train,train
1QFQ_4_RNA_A_1QFQ_4_PROT_B,-12.12,train,train,test,train,train
1QFQ_5_RNA_A_1QFQ_5_PROT_B,-12.12,train,train,test,train,train
1QFQ_6_RNA_A_1QFQ_6_PROT_B,-12.12,train,train,test,train,train
1QFQ_7_RNA_A_1QFQ_7_PROT_B,-12.12,train,train,test,train,train
1QFQ_8_RNA_A_1QFQ_8_PROT_B,-12.12,train,train,test,train,train
1QFQ_9_RNA_A_1QFQ_9_PROT_B,-12.12,train,train,test,train,train
1RKJ_0_RNA_B_1RKJ_0_PROT_A,-7.99,train,test,train,train,train
1RKJ_10_RNA_B_1RKJ_10_PROT_A,-7.99,train,test,train,train,train
1RKJ_11_RNA_B_1RKJ_11_PROT_A,-7.99,train,test,train,train,train
1RKJ_12_RNA_B_1RKJ_12_PROT_A,-7.99,train,test,train,train,train
1RKJ_13_RNA_B_1RKJ_13_PROT_A,-7.99,train,test,train,train,train
1RKJ_1_RNA_B_1RKJ_1_PROT_A,-7.99,train,test,train,train,train
1RKJ_2_RNA_B_1RKJ_2_PROT_A,-7.99,train,test,train,train,train
1RKJ_3_RNA_B_1RKJ_3_PROT_A,-7.99,train,test,train,train,train
1RKJ_4_RNA_B_1RKJ_4_PROT_A,-7.99,train,test,train,train,train
1RKJ_5_RNA_B_1RKJ_5_PROT_A,-7.99,train,test,train,train,train
1RKJ_6_RNA_B_1RKJ_6_PROT_A,-7.99,train,test,train,train,train
1RKJ_7_RNA_B_1RKJ_7_PROT_A,-7.99,train,test,train,train,train
1RKJ_8_RNA_B_1RKJ_8_PROT_A,-7.99,train,test,train,train,train
1RKJ_9_RNA_B_1RKJ_9_PROT_A,-7.99,train,test,train,train,train
1RLG_0_RNA_C_1RLG_0_PROT_A,-10.52,train,train,test,train,train
1S03_0_RNA_A_1S03_0_PROT_H,-9.73,test,train,train,train,train
1U63_0_RNA_B_1U63_0_PROT_A,-12.659,train,train,train,test,train
1WSU_0_RNA_E_1WSU_0_PROT_A,-8.18,train,train,test,train,train
